Price_Total,Area,Price_Meter,Rooms,Floor_Live,Floor_Total,Zone,Neighborhood,Distance,Time
135424326,116.7,1160548,3,8,13,ЗАО,Дорогомилово,7.0,15.0
135036748,124.9,1081159,3,8,13,ЦАО,Арбат,0.0,10.0
134849761,116.7,1155624,3,10,13,ЗАО,Дорогомилово,6.9,15.0
134676000,99.8,1350000,2,4,9,ЦАО,Якиманка,0.0,5.0
134124974,152.1,881821,4,29,32,ЮАО,Даниловский район,0.0,11.0
134115000,156.2,858611,4,13,18,ЦАО,Хамовники,3.0,10.0
134030000,141.0,950567,4,19,21,ЦАО,Пресненский район,4.6,11.0
133330168,100.9,1321409,3,16,34,ЗАО,Дорогомилово,6.4,14.0
133081425,132.1,1007429,2,8,13,ЦАО,Арбат,0.0,10.0
132934500,98.5,1350000,2,7,9,ЦАО,Якиманка,0.0,5.0
132882750,192.5,690300,5,3,12,ЗАО,Раменки,11.1,13.0
132650000,144.3,919265,4,21,23,ЦАО,Пресненский район,4.8,11.0
131300000,144.3,909910,4,20,23,ЦАО,Пресненский район,4.8,11.0
130260000,72.6,1794215,1,2,14,ЦАО,Якиманка,0.0,7.0
130224886,166.5,782131,5,19,32,СЗАО,Хорошёво-Мнёвники,6.7,12.0
130224886,166.5,782131,5,19,32,СЗАО,Хорошёво-Мнёвники,6.7,20.0
130050000,144.0,903125,4,15,23,ЦАО,Пресненский район,4.7,11.0
129740000,80.0,1621750,1,1,6,ЦАО,Басманный район,0.0,8.0
129700000,162.0,800617,4,11,23,ЦАО,Пресненский район,4.8,11.0
129590000,144.3,898060,4,19,23,ЦАО,Пресненский район,4.8,11.0
129586246,134.1,966340,4,26,34,ЗАО,Дорогомилово,6.4,14.0
129500000,128.0,1011719,3,25,34,ЗАО,Дорогомилово,6.4,14.0
129470000,114.0,1135702,2,5,18,ЦАО,Хамовники,4.0,17.0
129140000,129.1,1000310,2,51,53,ЗАО,Раменки,6.8,25.0
128610000,166.8,771043,3,14,14,ЗАО,Раменки,9.0,22.0
128394000,113.8,1128243,2,14,18,ЦАО,Хамовники,3.0,19.0
128350000,144.0,891319,4,14,23,ЦАО,Пресненский район,4.7,11.0
128330000,140.9,910788,4,17,21,ЦАО,Пресненский район,4.6,11.0
128297282,116.6,1100131,3,9,13,ЗАО,Дорогомилово,6.9,15.0
128170000,144.9,884541,4,21,23,ЦАО,Пресненский район,4.7,11.0
128070000,146.9,871818,4,16,21,ЦАО,Пресненский район,4.6,11.0
128037000,127.1,1007372,3,9,18,ЦАО,Хамовники,2.0,18.0
127880000,144.3,886209,4,18,23,ЦАО,Пресненский район,4.8,11.0
127654000,93.0,1372624,2,15,18,ЦАО,Хамовники,3.0,14.0
127560000,106.3,1200000,3,21,21,ЦАО,Басманный район,0.0,5.0
